month,invoice_no,stock_code,description,quantity,total_sales
2025-05,INV10835,P4335,Speak Off,48,177.12
2025-05,INV10677,P4155,Hand Hear,39,3095.8199999999997
2025-05,INV10855,P9165,Oil Campaign,38,2171.7
2025-05,INV10032,P2519,Score Itself,28,1079.68
2025-05,INV10891,P7274,Cost From,3,43.83
2025-05,INV10265,P5033,Room Specific,11,427.57
2025-05,INV10951,P3785,Want Main,46,3101.32
2025-05,INV10587,P2876,Lot Skin,23,417.91
2025-05,INV10274,P4910,Off Technology,7,185.15
2025-05,INV10774,P3037,Environment Challenge,32,3162.24
2025-05,INV10225,P4872,Certainly Strong,2,68.78
2025-05,INV10639,P8988,Republican Major,11,181.28
2025-05,INV10337,P3426,East Responsibility,38,39.14
2025-05,INV10891,P7274,Cost From,3,43.83
2025-05,INV10265,P5033,Room Specific,11,427.57
2025-05,INV10951,P3785,Want Main,46,3101.32
2025-05,INV10587,P2876,Lot Skin,23,417.91
2025-05,INV10274,P4910,Off Technology,7,185.15
2025-05,INV10774,P3037,Environment Challenge,32,3162.24
2025-05,INV10225,P4872,Certainly Strong,2,68.78
2025-05,INV10639,P8988,Republican Major,11,181.28
2025-05,INV10337,P3426,East Responsibility,38,39.14
2025-05,INV10891,P7274,Cost From,3,43.83
2025-05,INV10265,P5033,Room Specific,11,427.57
2025-05,INV10951,P3785,Want Main,46,3101.32
2025-05,INV10587,P2876,Lot Skin,23,417.91
2025-05,INV10274,P4910,Off Technology,7,185.15
2025-05,INV10774,P3037,Environment Challenge,32,3162.24
2025-05,INV10225,P4872,Certainly Strong,2,68.78
2025-05,INV10639,P8988,Republican Major,11,181.28
2025-05,INV10337,P3426,East Responsibility,38,39.14
2025-06,INV10184,P5562,But Management,33,1972.08
2025-06,INV10235,P1035,Win Security,24,1075.1999999999998
2025-06,INV10447,P6085,Who Whole,30,2354.1
2025-06,INV10803,P8700,Such Position,10,175.5
2025-06,INV10932,P8110,Serve Parent,49,1108.87
2025-06,INV10094,P6930,Show Management,29,486.33
2025-06,INV10115,P6573,Property Cause,41,2598.9900000000002
2025-06,INV10917,P6546,Watch Federal,45,2052.0
2025-06,INV10981,P7248,Group Discover,36,531.0
2025-06,INV10037,P5333,Enough Movie,3,212.49
2025-06,INV10035,P6881,Sometimes Read,47,2529.54
2025-06,INV10681,P4033,Stop History,19,1611.96
2025-06,INV10663,P6016,Congress Fly,48,1514.8799999999999
2025-06,INV10184,P5562,But Management,33,1972.08
2025-06,INV10235,P1035,Win Security,24,1075.1999999999998
2025-06,INV10447,P6085,Who Whole,30,2354.1
2025-06,INV10803,P8700,Such Position,10,175.5
2025-06,INV10932,P8110,Serve Parent,49,1108.87
2025-06,INV10094,P6930,Show Management,29,486.33
2025-06,INV10115,P6573,Property Cause,41,2598.9900000000002
2025-06,INV10917,P6546,Watch Federal,45,2052.0
2025-06,INV10981,P7248,Group Discover,36,531.0
2025-06,INV10037,P5333,Enough Movie,3,212.49
2025-06,INV10035,P6881,Sometimes Read,47,2529.54
2025-06,INV10681,P4033,Stop History,19,1611.96
2025-06,INV10663,P6016,Congress Fly,48,1514.8799999999999
2025-06,INV10184,P5562,But Management,33,1972.08
2025-06,INV10235,P1035,Win Security,24,1075.1999999999998
2025-06,INV10447,P6085,Who Whole,30,2354.1
2025-06,INV10803,P8700,Such Position,10,175.5
2025-06,INV10932,P8110,Serve Parent,49,1108.87
2025-06,INV10094,P6930,Show Management,29,486.33
2025-06,INV10115,P6573,Property Cause,41,2598.9900000000002
2025-06,INV10917,P6546,Watch Federal,45,2052.0
2025-06,INV10981,P7248,Group Discover,36,531.0
2025-06,INV10037,P5333,Enough Movie,3,212.49
2025-06,INV10035,P6881,Sometimes Read,47,2529.54
2025-06,INV10681,P4033,Stop History,19,1611.96
2025-06,INV10663,P6016,Congress Fly,48,1514.8799999999999
2025-06,INV10184,P5562,But Management,33,1972.08
2025-06,INV10235,P1035,Win Security,24,1075.1999999999998
2025-06,INV10447,P6085,Who Whole,30,2354.1
2025-06,INV10803,P8700,Such Position,10,175.5
2025-06,INV10932,P8110,Serve Parent,49,1108.87
2025-06,INV10094,P6930,Show Management,29,486.33
2025-06,INV10115,P6573,Property Cause,41,2598.9900000000002
2025-06,INV10917,P6546,Watch Federal,45,2052.0
2025-06,INV10981,P7248,Group Discover,36,531.0
2025-06,INV10037,P5333,Enough Movie,3,212.49
2025-06,INV10035,P6881,Sometimes Read,47,2529.54
2025-06,INV10681,P4033,Stop History,19,1611.96
2025-06,INV10663,P6016,Congress Fly,48,1514.8799999999999
2025-06,INV10184,P5562,But Management,33,1972.08
2025-06,INV10235,P1035,Win Security,24,1075.1999999999998
2025-06,INV10447,P6085,Who Whole,30,2354.1
2025-06,INV10803,P8700,Such Position,10,175.5
2025-06,INV10932,P8110,Serve Parent,49,1108.87
2025-06,INV10094,P6930,Show Management,29,486.33
2025-06,INV10115,P6573,Property Cause,41,2598.9900000000002
2025-06,INV10917,P6546,Watch Federal,45,2052.0
2025-06,INV10981,P7248,Group Discover,36,531.0
2025-06,INV10037,P5333,Enough Movie,3,212.49
2025-06,INV10035,P6881,Sometimes Read,47,2529.54
2025-06,INV10681,P4033,Stop History,19,1611.96
2025-06,INV10663,P6016,Congress Fly,48,1514.8799999999999
2025-06,INV10723,P5978,Treat Job,1,19.49
2025-06,INV10631,P4995,Dog Send,39,1103.7
2025-06,INV10515,P7812,Image Could,32,541.44
2025-06,INV10267,P2343,Service Few,25,2436.0
2025-06,INV10723,P5978,Treat Job,1,19.49
2025-06,INV10631,P4995,Dog Send,39,1103.7
2025-06,INV10515,P7812,Image Could,32,541.44
2025-06,INV10267,P2343,Service Few,25,2436.0
2025-06,INV10723,P5978,Treat Job,1,19.49
2025-06,INV10631,P4995,Dog Send,39,1103.7
2025-06,INV10515,P7812,Image Could,32,541.44
2025-06,INV10267,P2343,Service Few,25,2436.0
2025-07,INV10940,P6314,Option Ball,23,2026.53
2025-07,INV10775,P8679,Coach Upon,47,4240.81
2025-07,INV10940,P6314,Option Ball,23,2026.53
2025-07,INV10775,P8679,Coach Upon,47,4240.81
2025-07,INV10940,P6314,Option Ball,23,2026.53
2025-07,INV10775,P8679,Coach Upon,47,4240.81
2025-07,INV10940,P6314,Option Ball,23,2026.53
2025-07,INV10775,P8679,Coach Upon,47,4240.81
2025-07,INV10940,P6314,Option Ball,23,2026.53
2025-07,INV10775,P8679,Coach Upon,47,4240.81
2025-07,INV10575,P4266,Color Congress,9,744.21
2025-07,INV10060,P6820,Type Whole,17,993.31
2025-07,INV10764,P4683,Course Street,25,97.75
2025-07,INV10932,P8110,Pretty End,49,1108.87
2025-07,INV10436,P8244,Enjoy Meeting,37,3488.73
2025-07,INV10480,P9270,Then Right,29,2878.25
2025-07,INV10455,P2193,We Resource,30,2880.6
2025-07,INV10871,P7798,Current All,5,146.2
2025-07,INV10575,P4266,Color Congress,9,744.21
2025-07,INV10060,P6820,Type Whole,17,993.31
2025-07,INV10764,P4683,Course Street,25,97.75
2025-07,INV10932,P8110,Pretty End,49,1108.87
2025-07,INV10436,P8244,Enjoy Meeting,37,3488.73
2025-07,INV10480,P9270,Then Right,29,2878.25
2025-07,INV10455,P2193,We Resource,30,2880.6
2025-07,INV10871,P7798,Current All,5,146.2
2025-07,INV10575,P4266,Color Congress,9,744.21
2025-07,INV10060,P6820,Type Whole,17,993.31
2025-07,INV10764,P4683,Course Street,25,97.75
2025-07,INV10932,P8110,Pretty End,49,1108.87
2025-07,INV10436,P8244,Enjoy Meeting,37,3488.73
2025-07,INV10480,P9270,Then Right,29,2878.25
2025-07,INV10455,P2193,We Resource,30,2880.6
2025-07,INV10871,P7798,Current All,5,146.2
2025-08,INV10485,P8777,Sometimes Much,37,2029.82
2025-08,INV10506,P7275,Speech Late,37,2814.2200000000003
2025-08,INV10890,P4912,Central Out,25,1174.5
2025-08,INV10485,P8777,Sometimes Much,37,2029.82
2025-08,INV10506,P7275,Speech Late,37,2814.2200000000003
2025-08,INV10890,P4912,Central Out,25,1174.5
2025-08,INV10485,P8777,Sometimes Much,37,2029.82
2025-08,INV10506,P7275,Speech Late,37,2814.2200000000003
2025-08,INV10890,P4912,Central Out,25,1174.5
2025-08,INV10485,P8777,Sometimes Much,37,2029.82
2025-08,INV10506,P7275,Speech Late,37,2814.2200000000003
2025-08,INV10890,P4912,Central Out,25,1174.5
2025-08,INV10485,P8777,Sometimes Much,37,2029.82
2025-08,INV10506,P7275,Speech Late,37,2814.2200000000003
2025-08,INV10890,P4912,Central Out,25,1174.5
2025-08,INV10164,P9479,Wall Memory,36,3517.2000000000003
2025-08,INV10164,P9479,Wall Memory,36,3517.2000000000003
2025-08,INV10164,P9479,Wall Memory,36,3517.2000000000003
